StringId	Text
Part3|Keyed/Adamas_HospitalityCasino_Casino.xml|HospitalityCasino_VendingMachine	Slot machine
Part3|Keyed/Adamas_HospitalityCasino_Casino.xml|HospitalityCasino_VendingMachineContains	Contains:
Part3|Keyed/Adamas_HospitalityCasino_Casino.xml|HospitalityCasino_VendingMachineTotal	Lifetime earnings:
Part3|Keyed/Adamas_HospitalityCasino_Casino.xml|HospitalityCasino_VendingMachineToggleDesc	Allow guests to use this facility.
Part3|Keyed/Adamas_HospitalityCasino_Casino.xml|HospitalityCasino_SetPricing	Set Pricing
Part3|Keyed/Adamas_HospitalityCasino_Casino.xml|HospitalityCasino_Free	Free play
Part3|Keyed/Adamas_HospitalityCasino_Casino.xml|HospitalityCasino_Low	Low stake - low housecut
Part3|Keyed/Adamas_HospitalityCasino_Casino.xml|HospitalityCasino_Medium	Default stake - default housecut
Part3|Keyed/Adamas_HospitalityCasino_Casino.xml|HospitalityCasino_High	High stake - high housecut
Part3|Keyed/Adamas_HospitalityCasino_Casino.xml|HospitalityCasino_EmptyAfterHours	Empty every slot machine after X hours
Part3|Keyed/Adamas_HospitalityCasino_Casino.xml|HospitalityCasino_EmptyAfterHoursTooltip	If a slot machine has not been emptied after this number of hours, somebody will need to come and empty it.
Part3|Keyed/Adamas_HospitalitySpa_Spa.xml|HospitalitySpa_VendingMachine	Vending machine
Part3|Keyed/Adamas_HospitalitySpa_Spa.xml|HospitalitySpa_VendingMachineContains	Contains:
Part3|Keyed/Adamas_HospitalitySpa_Spa.xml|HospitalitySpa_VendingMachineTotal	Lifetime earnings:
Part3|Keyed/Adamas_HospitalitySpa_Spa.xml|HospitalitySpa_VendingMachineToggleDesc	Allow guests to use this facility.
Part3|Keyed/Adamas_HospitalitySpa_Spa.xml|HospitalitySpa_SetPricing	Set entry fee
Part3|Keyed/Adamas_HospitalitySpa_Spa.xml|HospitalitySpa_Free	Free entry
Part3|Keyed/Adamas_HospitalitySpa_Spa.xml|HospitalitySpa_Low	Low entry fee
Part3|Keyed/Adamas_HospitalitySpa_Spa.xml|HospitalitySpa_Medium	Default entry fee
Part3|Keyed/Adamas_HospitalitySpa_Spa.xml|HospitalitySpa_High	High entry fee
Part3|Keyed/Adamas_HospitalitySpa_Spa.xml|HospitalitySpa_EmptyAfterHours	Collect money at the facilities after X hours
Part3|Keyed/Adamas_HospitalitySpa_Spa.xml|HospitalitySpa_EmptyAfterHoursTooltip	If money at the facilities has not been collected after this number of hours, somebody will need to come and do it.
Part3|Keyed/Adamas_Storefront_Storefront.xml|StoreMessageIncomeToday	Your store has earned {0} today.
Part3|Keyed/Adamas_Storefront_Storefront.xml|TabRegisterStore	Shop
Part3|Keyed/Adamas_Storefront_Storefront.xml|StoreDefaultName	store {0}
Part3|Keyed/Adamas_Storefront_Storefront.xml|StoreTooltipRename	Rename this store.
Part3|Keyed/Adamas_Storefront_Storefront.xml|TabRegisterOpened	Opened
Part3|Keyed/Adamas_Storefront_Storefront.xml|TabRegisterOpenedTooltip	When checked, customers can visit while a shift is active.
Part3|Keyed/Adamas_Storefront_Storefront.xml|TabRegisterRadius	Radius
Part3|Keyed/Adamas_Storefront_Storefront.xml|TabRegisterActiveStaff	Active staff:
Part3|Keyed/Adamas_Storefront_Storefront.xml|TabRegisterCustomers	Customers:
Part3|Keyed/Adamas_Storefront_Storefront.xml|TabRegisterStocked	Stocked:
Part3|Keyed/Adamas_Storefront_Storefront.xml|TabRegisterEarnedYesterday	Earned yesterday:
Part3|Keyed/Adamas_Storefront_Storefront.xml|TabRegisterEarnedToday	Earned today:
Part3|Keyed/Adamas_Storefront_Storefront.xml|AlertNoRegister	No register
Part3|Keyed/Adamas_Storefront_Storefront.xml|AlertNoRegisterExplanation	To open your store, you need at least one register. This can be built from the production tab.
Part3|Keyed/Adamas_Storefront_Storefront.xml|AlertNoCashier	No cashier
Part3|Keyed/Adamas_Storefront_Storefront.xml|AlertNoCashierExplanation	To operate your store, you need to set up at least one shift at a register and assign a capable cashier.
Part3|Keyed/Adamas_VendingMachines_VendingMachines.xml|VendingMachines_VendingMachine	Vending machine
Part3|Keyed/Adamas_VendingMachines_VendingMachines.xml|VendingMachines_VendingMachineContains	Contains:
Part3|Keyed/Adamas_VendingMachines_VendingMachines.xml|VendingMachines_VendingMachineTotal	Lifetime earnings:
Part3|Keyed/Adamas_VendingMachines_VendingMachines.xml|VendingMachines_VendingMachineToggleDesc	Allow guests to use this facility.
Part3|Keyed/Adamas_VendingMachines_VendingMachines.xml|VendingMachines_SetPricing	Set Pricing
Part3|Keyed/Adamas_VendingMachines_VendingMachines.xml|VendingMachines_Free	Give for free
Part3|Keyed/Adamas_VendingMachines_VendingMachines.xml|VendingMachines_Low	give 25% discount
Part3|Keyed/Adamas_VendingMachines_VendingMachines.xml|VendingMachines_Medium	Default pricing
Part3|Keyed/Adamas_VendingMachines_VendingMachines.xml|VendingMachines_High	make 25% extra profit
Part3|Keyed/Adamas_VendingMachines_VendingMachines.xml|EmptyAfterHours	Empty every vending machine after X hours
Part3|Keyed/Adamas_VendingMachines_VendingMachines.xml|EmptyAfterHoursTooltip	If a vending machine has not been emptied after this number of hours, somebody will need to come and empty it.
Part3|Keyed/Orion_CashRegister_TableTops.xml|MustPlaceOnTable	Must be placed on a table.
Part3|Keyed/Orion_CashRegister_TableTops.xml|MustPlaceOnFreeSurface	Must be placed on clear surface.
Part3|Keyed/Orion_CashRegister_TableTops.xml|TabRegisterShifts	Shifts
Part3|Keyed/Orion_CashRegister_TableTops.xml|TabRegisterShiftsAdd	+
Part3|Keyed/Orion_CashRegister_TableTops.xml|TabRegisterShiftsRemove	×
Part3|Keyed/Orion_CashRegister_TableTops.xml|TabRegisterShiftsEmpty	No one
Part3|Keyed/Orion_CashRegister_TableTops.xml|TabRegisterShiftsAssign	Assign
Part3|Keyed/Orion_CashRegister_TableTops.xml|TabRegisterShiftsRejectedMissingMods	No mod uses this register
Part3|Keyed/Orion_CashRegister_TableTops.xml|TabRegisterShiftsRejectedNoWork	Doesn't do this kind of work
Part3|Keyed/Orion_CashRegister_TableTops.xml|TabRegisterShiftsStandby	Stand by
Part3|Keyed/Orion_CashRegister_TableTops.xml|TabRegisterShiftsStandbyDesc	Colonists with an active shift will wait here. Only more important tasks have priority.
Part3|Keyed/Orion_CashRegister_TableTops.xml|InactiveIfEveryoneIsSleeping	Inactive if everyone sleeps
Part3|Keyed/Orion_CashRegister_TableTops.xml|InactiveIfEveryoneIsSleepingDesc	This register and all active shifts are disabled when all currently assigned colonists are sleeping. If they are downed or traveling, the same happens either way.
