"Group","PackageId","ModName","SourceRoot","SourceRelativePath","TargetRelativePath","Bytes","SHA256"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Abilities\VEF_ControlledBlinking.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Abilities\VEF_ControlledBlinking.png","6188","14BEB985A2691A142112201FCAC7C31045DF563D009DD463F487AA3A240AD093"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Abilities\VEF_ControlledDetonation.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Abilities\VEF_ControlledDetonation.png","9995","F0E750E37FB9641DA577F20E46EF2372CC68485A29FE6676D6F2B5B6276A6D5F"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Abilities\VEF_ControlledInvisibility.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Abilities\VEF_ControlledInvisibility.png","2157","60148563A90C6F911A5B087804B38269D1F0977447C0B02F114C09B118E75765"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Abilities\VEF_CorpseDecay.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Abilities\VEF_CorpseDecay.png","6745","8F57BE5A519E74ED1872D71DDC53F269110D64D0E5C2EDA58CA50CA5706D3C12"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Abilities\VEF_DiggingDiscipline.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Abilities\VEF_DiggingDiscipline.png","7567","68E91B727DB2147DAF75DE9D317326F57CF1896225E8DE2DFECB5C36B810F08C"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Abilities\VEF_FumeRegulation.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Abilities\VEF_FumeRegulation.png","4345","88D346DFD0A02F003E98AF576DAC3ABCB179400595775674463CD6E6CC5FDC25"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\AttachTurret.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\AttachTurret.png","4275","B8D9943892D1507BBAC085475E0AC80B8637F80F47B0E1A22D53D9EBF4A79168"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\CheckAuto.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\CheckAuto.png","886","440E0AE726066D3D3755DE875FDF23BB289814803541B6738DB668FDF11607BF"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Commands\VEF_Hunt.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Commands\VEF_Hunt.png","12519","9C3A7378473049F4F1FD75DCA40679E2ECE8E390C1EA350E47457855671D3007"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Commands\VFE_RandomChunks.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Commands\VFE_RandomChunks.png","4111","AAD1833592BAC7C6D2E1993728F644DC51FB67A9603493A8811ACD91D8BE583B"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\CSG\help.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\CSG\help.png","2991","09EBF32C02EAECC2CBAE6897F0E3D7915D1CC3FEA0F2C05BB9CF135C1B012314"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\CSG\IConduit.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\CSG\IConduit.png","567","B546439DDD071ED2E0E7364A5E37A7B58D1E705204A168FA631F92BF9AFD077F"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Designators\export.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Designators\export.png","15809","B4FA6D18C5A5C51B13C4FE5E8C18B63878DABD5755FC20B208F1E5748C280CE1"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Designators\exportFA.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Designators\exportFA.png","10429","99120820AA189B920D6D7DC0AA23F6480E6F09D564BF8DB191D79D1124C50E33"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\EmptyImage.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\EmptyImage.png","113","D1FD17E13A11452A7AC5582EF3A35D6C517E404628EA339882F26AA0AEC3B723"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\EmptyImage_east.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\EmptyImage_east.png","113","D1FD17E13A11452A7AC5582EF3A35D6C517E404628EA339882F26AA0AEC3B723"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\EnableWarmup\EnableWarmup.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\EnableWarmup\EnableWarmup.png","2181","0D23E13C205D79C26574422B3103238DE48979605D3141CEE1E1F53BD52BB112"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\ForceRecharge.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\ForceRecharge.png","1799","73A243F88307BF228FC87DE2EC9DC4F9B356143120DA4A76E6F6559696AB0B14"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Gizmo\AbandonOutpost.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Gizmo\AbandonOutpost.png","6119","4602A843D5FFEE808BFFC0D056D9613D671AAC86C7ED6656E8424E715C15CC25"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Gizmo\AddToOutpost.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Gizmo\AddToOutpost.png","6866","A23C724CDC5EB101012E76BA411D3D15B88B0BBCAAB79DEF7A88ED5BBDB60C61"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Gizmo\CancelAbandonOutpost.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Gizmo\CancelAbandonOutpost.png","4272","4C43B0D2F76F5DF0B8CB823389B1EA29E005AB80583244A3CD44ACE774066D9A"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Gizmo\ExtractFlower.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Gizmo\ExtractFlower.png","12736","B9FDF62969C526479BDA12B7D195EC2E383AEF75B4E25864E44B5971C621A9C8"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Gizmo\ExtractFlowerOverlay.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Gizmo\ExtractFlowerOverlay.png","5895","6E7C61B4B81B98EA71B168FFE1E1ED16EEF87B4E39581D4275CAB47CCEAA2182"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Gizmo\LampColourSwitch.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Gizmo\LampColourSwitch.png","10869","459E37B8A36CC808439480830B2BF59284767B45BC5969B3DC5DCFFB5659C260"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Gizmo\RemoveItemsFromOutpost.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Gizmo\RemoveItemsFromOutpost.png","5300","36DFFA9A624364D8C0CB350605D31341174DD8E2964F2C9D2F710161D9E4359D"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Gizmo\RemovePawnFromOutpost.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Gizmo\RemovePawnFromOutpost.png","2257","BE82CD6ADE8CF4D95B9252643098CFE0A10BBF13141A69CDF134D08E7DA23B5C"
"VanillaExpanded","OskarPotocki.VanillaFactionsExpanded.Core","Vanilla Expanded Framework","D:\Steam\steamapps\workshop\content\294100\2023507013","Textures\UI\Gizmo\RemoveWeeds_Gizmo.png","VanillaExpanded\OskarPotocki.VanillaFactionsExpanded.Core\Textures\UI\Gizmo\RemoveWeeds_Gizmo.png","7565","19DC19D8C5DB8F9A9C6DC19C3E141F13D61CD46A5DDDF27A4A53DA407087E22B"
