family	packageId	mod	kind	defName	label	status	factions	addedTags	existingWeaponTags	existingApparelTags	reason	sourceFile
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_10mm_Pistol	10mm Pistol	assigned	Arizona raiders; California raiders; Great Khans; Nuevo Texico raiders; caravan companies; escaped slaves and beggars; generic wastelanders; ghoul settlements; raiders; settlements	FIPW_Pool_ArizonaRaider,FIPW_Pool_CaliforniaRaider,FIPW_Pool_Caravan,FIPW_Pool_Ghoul,FIPW_Pool_GreatKhan,FIPW_Pool_NuevoTexicoRaider,FIPW_Pool_Raider,FIPW_Pool_Settler,FIPW_Pool_SlaveLowTech,FIPW_Pool_Wastelander,FIPW_Role_Sidearm,FIPW_T1_Wasteland	FCP_10mm_Pistol,FCP_Pistol,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Pistol_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_10mm_Pistol_MkII	10mm Pistol MkII	assigned	Arizona settlements; Caesar's Legion; California settlements; Cascadia Forged raiders; Circle of Steel; Enclave remnants; NCR; US Army-equipped forces; Whitespring Enclave; controlled and crazed vaults; rough settlements; settlement guards; super mutant forces	FIPW_Pool_CascadiaRaider,FIPW_Pool_CircleOfSteel,FIPW_Pool_Enclave,FIPW_Pool_EnclaveRemnant,FIPW_Pool_LegionNative,FIPW_Pool_LegionRegional,FIPW_Pool_NCRNative,FIPW_Pool_NCRRegional,FIPW_Pool_RoughSettler,FIPW_Pool_SettlerGuard,FIPW_Pool_SuperMutant,FIPW_Pool_USArmy,FIPW_Pool_VaultHighTech,FIPW_Role_Sidearm,FIPW_T2_Service	FCP_10mm_Pistol_MkII,FCP_Pistol,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Pistol_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_10mm_SMG	10mm SMG	assigned	Arizona raiders; California raiders; Great Khans; Nuevo Texico raiders; caravan companies; escaped slaves and beggars; generic wastelanders; ghoul settlements; raiders; settlements	FIPW_Pool_ArizonaRaider,FIPW_Pool_CaliforniaRaider,FIPW_Pool_Caravan,FIPW_Pool_Ghoul,FIPW_Pool_GreatKhan,FIPW_Pool_NuevoTexicoRaider,FIPW_Pool_Raider,FIPW_Pool_Settler,FIPW_Pool_SlaveLowTech,FIPW_Pool_Wastelander,FIPW_Role_SMG,FIPW_T1_Wasteland	FCP_10mm_SMG,FCP_SMG,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\SMG_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_127mm_Pistol	12.7mm Pistol	assigned	Arizona settlements; Caesar's Legion; California settlements; Cascadia Forged raiders; Circle of Steel; Enclave remnants; NCR; US Army-equipped forces; Whitespring Enclave; controlled and crazed vaults; rough settlements; settlement guards; super mutant forces	FIPW_Pool_CascadiaRaider,FIPW_Pool_CircleOfSteel,FIPW_Pool_Enclave,FIPW_Pool_EnclaveRemnant,FIPW_Pool_LegionNative,FIPW_Pool_LegionRegional,FIPW_Pool_NCRNative,FIPW_Pool_NCRRegional,FIPW_Pool_RoughSettler,FIPW_Pool_SettlerGuard,FIPW_Pool_SuperMutant,FIPW_Pool_USArmy,FIPW_Pool_VaultHighTech,FIPW_Role_Sidearm,FIPW_T2_Service	FCP_127mm_Pistol,FCP_Pistol,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Pistol_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_127mm_SMG	12.7mm SMG	assigned	Arizona settlements; Caesar's Legion; California settlements; Cascadia Forged raiders; Circle of Steel; Enclave remnants; NCR; US Army-equipped forces; Whitespring Enclave; controlled and crazed vaults; rough settlements; settlement guards; super mutant forces	FIPW_Pool_CascadiaRaider,FIPW_Pool_CircleOfSteel,FIPW_Pool_Enclave,FIPW_Pool_EnclaveRemnant,FIPW_Pool_LegionNative,FIPW_Pool_LegionRegional,FIPW_Pool_NCRNative,FIPW_Pool_NCRRegional,FIPW_Pool_RoughSettler,FIPW_Pool_SettlerGuard,FIPW_Pool_SuperMutant,FIPW_Pool_USArmy,FIPW_Pool_VaultHighTech,FIPW_Role_SMG,FIPW_T2_Service	FCP_127mm_SMG,FCP_SMG,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\SMG_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_14mm_Pistol	14mm Pistol	assigned	Arizona settlements; Caesar's Legion; California settlements; Cascadia Forged raiders; Circle of Steel; Enclave remnants; NCR; US Army-equipped forces; Whitespring Enclave; controlled and crazed vaults; rough settlements; settlement guards; super mutant forces	FIPW_Pool_CascadiaRaider,FIPW_Pool_CircleOfSteel,FIPW_Pool_Enclave,FIPW_Pool_EnclaveRemnant,FIPW_Pool_LegionNative,FIPW_Pool_LegionRegional,FIPW_Pool_NCRNative,FIPW_Pool_NCRRegional,FIPW_Pool_RoughSettler,FIPW_Pool_SettlerGuard,FIPW_Pool_SuperMutant,FIPW_Pool_USArmy,FIPW_Pool_VaultHighTech,FIPW_Role_Sidearm,FIPW_T2_Service	FCP_14mm_Pistol,FCP_Pistol,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Pistol_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_223_Pistol	.223 Pistol	assigned	Arizona settlements; Caesar's Legion; California settlements; Cascadia Forged raiders; Circle of Steel; Enclave remnants; NCR; US Army-equipped forces; Whitespring Enclave; controlled and crazed vaults; rough settlements; settlement guards; super mutant forces	FIPW_Pool_CascadiaRaider,FIPW_Pool_CircleOfSteel,FIPW_Pool_Enclave,FIPW_Pool_EnclaveRemnant,FIPW_Pool_LegionNative,FIPW_Pool_LegionRegional,FIPW_Pool_NCRNative,FIPW_Pool_NCRRegional,FIPW_Pool_RoughSettler,FIPW_Pool_SettlerGuard,FIPW_Pool_SuperMutant,FIPW_Pool_USArmy,FIPW_Pool_VaultHighTech,FIPW_Role_Sidearm,FIPW_T2_Service	FCP_223_Pistol,FCP_Pistol,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Pistol_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_223_Rangemaster	.223 Rangemaster Rifle	assigned	Arizona raiders; California raiders; Great Khans; Nuevo Texico raiders; caravan companies; escaped slaves and beggars; generic wastelanders; ghoul settlements; raiders; settlements	FIPW_Pool_ArizonaRaider,FIPW_Pool_CaliforniaRaider,FIPW_Pool_Caravan,FIPW_Pool_Ghoul,FIPW_Pool_GreatKhan,FIPW_Pool_NuevoTexicoRaider,FIPW_Pool_Raider,FIPW_Pool_Settler,FIPW_Pool_SlaveLowTech,FIPW_Pool_Wastelander,FIPW_Role_Rifle,FIPW_T1_Wasteland	FCP_223_RangeMaster,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Rifle_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_223_Rifle	.223 Rifle	assigned	Arizona raiders; California raiders; Great Khans; Nuevo Texico raiders; caravan companies; escaped slaves and beggars; generic wastelanders; ghoul settlements; raiders; settlements	FIPW_Pool_ArizonaRaider,FIPW_Pool_CaliforniaRaider,FIPW_Pool_Caravan,FIPW_Pool_Ghoul,FIPW_Pool_GreatKhan,FIPW_Pool_NuevoTexicoRaider,FIPW_Pool_Raider,FIPW_Pool_Settler,FIPW_Pool_SlaveLowTech,FIPW_Pool_Wastelander,FIPW_Role_Rifle,FIPW_T1_Wasteland	FCP_223_Rifle,FCP_Rifle,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Rifle_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_32_Hunting_Rifle	.32 Hunting Rifle	assigned	Arizona raiders; California raiders; Great Khans; Nova Arizona frontier; Nuevo Texico frontier; Nuevo Texico raiders; caravan companies; escaped slaves and beggars; generic wastelanders; ghoul settlements; raiders; settlements	FIPW_Pool_ArizonaCowboy,FIPW_Pool_ArizonaRaider,FIPW_Pool_CaliforniaRaider,FIPW_Pool_Caravan,FIPW_Pool_Ghoul,FIPW_Pool_GreatKhan,FIPW_Pool_NuevoTexicoFrontier,FIPW_Pool_NuevoTexicoRaider,FIPW_Pool_Raider,FIPW_Pool_Settler,FIPW_Pool_SlaveLowTech,FIPW_Pool_Wastelander,FIPW_Role_Rifle,FIPW_T1_Wasteland	FCP_32_Hunting_Rifle,FCP_Rifle,Gun			D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Rifle_Defs.xml
