StringId	Text
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Enlist_Letter_Title	You have Enlisted into the Brotherhood of Steel.
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Enlist_Letter_Label	Initiate, this is a message from your chapter elder. I would like to congratulate you on passing your trials. You have been picked to be a part of the Brotherhood, do not make the same mistake as our forbearers.\n\n You will be issued a standard salary every week for you and your team as well as provisions that can be picked up at our bases when you are not on patrol or finding lost technology. The {FACTION_name} has bunkers and facilities in order to better train your team, use them wisely.\n\n -Ad Victoriam
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Enlist_Button_Label	Enlist into the Brotherhood of Steel.
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Enlist_Button_Desc	Sign a new contract with The Brotherhood of Steel.
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Enlist_Requrements_Not_Satisfied	You need to have minimum of 10 goodwill, currently you have only {0} goodwill.
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Enlisted_With_Key	Enlisted with: The Brotherhood of Steel
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_Active_Enlist_Options	Active enlist options
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Missions_Label	Tasks
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Missions_Desc	Task descriptions
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Menu_Missions_Desc	While leaving the bunker you ask around about any potential tasks that need doing.
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Menu_Missions_Select_Quest	Select a Task: 
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Menu_Missions_Start_Quest	Start Task ({0})
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_Cancel	Cancel
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Not_Enough_Money	Not enough scrip
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Salary_Label	Wages
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Salary_Desc	You are entitled to collect wages from this faction every 14 days.
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Provisions_Label	Provisions
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Provisions_Desc	Provisions will arrive via your caravan inventory every 10 days:\n\n- 6 BoS Food Crate \n- ×1 BoS tECHrate
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Provisions_Label_Standard_Issue	Standard Issue
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Provisions_Desc_Standard_Issue	BoS standard Issue gear will arrive via your caravan inventory every 30 days:\n\n- ×2 BoS Army Weapon Crate \n- ×2 BoS Army Uniform Crate
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Storage_Label	Storage
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Storage_Desc	Store items from your caravan to your faction stash. Faction stashes transfer across all of the faction's outposts and will save contents even if you are no longer enlisted.
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Storage_Inventory	Storage inventory
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Caravan_Inventory	Caravan inventory
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Part_Time_Job_Label	Part-Time Job
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Part_Time_Job_Desc	Pull additional duties and cover for your knight and scribe brothers for $10 an hour.
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Hospital_Label	Hospital
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Hospital_Desc	Check in with the hospital of this base. This service tends to all of your team with industrial medicine. Immunity gain is also increased while your team is in the hospital.
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Shooting_Training_Label	Training: Knight training
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Shooting_Training_Desc	Train your knights, paladins and intitiats with hourly experience gain on the following skills:\n\n- Shooting, Melee \n\n Hourly experience gain stops when this faction is resting at night.
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Survival_Training_Label	Training: Scribe training
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Survival_Training_Desc	Train your scribes with hourly experience gain on the following skills:\n\n- \n- Crafting\n- Intellectual\n- Medicine\n\nHourly experience gain stops when this faction is resting at night.
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Turn_In_Label	Turn in
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Turn_In_Desc	Turn in war prisoners and high value targets to BoS facilities.\n\n -Turning over any hostile pawns do not result in a slavery debuff-
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Turn_In_Trader_Name	Brotherhood of Steel Warden
Part2|Keyed/FCP_Brotherhood_of_Steel_FCP_BoS_Enlistment.xml|FCP_BoS_Resign_Menu_Text	You will resign from the Brotherhood effective immediately. (-25 in relations)
